Addresses,Latitude,Longitude
1-ci mikrorayon q.,40.40891124,49.80699372
20 Yanvar m.,40.40464104,49.80635691
20-ci sahə q.,40.32975637,49.81827563
28 May m.,40.38117917,49.8490805
2-ci mikrorayon q.,40.41338628,49.81791926
3-cü mikrorayon q.,40.4091222,49.8203356
4-cü mikrorayon q.,40.5791984,49.6759609
5-ci mikrorayon q.,40.41096881,49.81119057
6-cı mikrorayon q.,40.4203501,49.8291358
7-ci mikrorayon q.,40.4267154,49.8495725
8 Noyabr m.,40.401874,49.8208871
8-ci kilometr q.,40.40957897,49.94520315
8-ci mikrorayon q.,40.42254057,49.84133326
9-cu mikrorayon q.,40.4201397,49.8121985
Abşeron r.,40.3629693,49.2736815
Ağ şəhər,40.3820104,49.8885073
Avtovağzal m.,40.42279,49.7977549
Azadlıq Prospekti m.,40.425229,49.8418281
Badamdar q.,40.338121,49.805102
Bakıxanov q.,40.4203457,49.960814
Bakmil m.,40.414154,49.878915
Bayıl q.,40.3436858,49.8402113
Biləcəri q.,40.4400149,49.8095548
Binə q.,40.4566094,50.1024062
Binəqədi q.,40.4742778,49.8255553
Binəqədi r.,40.4742778,49.8255553
Bülbülə q.,40.4342188,49.9758857
Buzovna q.,40.523668,50.0999298
Ceyranbatan q.,40.5423857,49.6694214
Dərnəgül m.,40.4253602,49.8618955
Əhmədli m.,40.3820903,49.9507378
Əhmədli q.,40.3913725,49.9541175
Elmlər Akademiyası m.,40.3750694,49.8150977
Əmircan q.,40.4267282,49.987195
Gənclik m.,40.4004909,49.8515427
Günəşli q.,40.3868221,49.9797014
Həzi Aslanov m.,40.3730492,49.9535013
Həzi Aslanov q.,40.3730492,49.9535013
Hövsan q.,40.3802589,50.0918078
İçəri Şəhər m.,40.366267,49.8349644
İnşaatçılar m.,40.3887708,49.802975
Keşlə q.,40.4122684,49.8720862
Köhnə Günəşli q.,40.377616,49.960699
Koroğlu m.,40.421611,49.916829
Kubinka q.,40.3827823,49.83399241
Kürdəxanı q.,40.5467097,49.9167796
Lökbatan q.,40.3367892,49.7796213
M.Ə.Rəsulzadə q.,40.4341474,49.8360975
Masazır q.,40.4562601,49.7580232
Massiv A q.,40.3868221,49.9797014
Massiv V q.,40.3802704,49.9819289
Mehdiabad q.,40.5035024,49.8579416
Memar Əcəmi m.,40.41059,49.813623
Mərdəkan q.,40.4759518,50.169626
Nardaran q.,40.5918613,49.9872852
Neftçilər m.,40.4101576,49.9433126
Nəriman Nərimanov m.,40.4028298,49.8706796
Nərimanov r.,40.4015563,49.8627752
Nəsimi m.,40.4244291,49.8251384
Nəsimi r.,40.3925716,49.8315374
Nizami m.,40.38048844,49.83124498
Nizami r.,40.40854793,49.92747615
Novxanı q.,40.5286122,49.7782957
NZS q.,40.3849083,49.92013626
Qara Qarayev m.,40.417776,49.932096
Qaraçuxur q.,40.4030503,49.9729539
Qaradağ r.,40.2987179,49.7063062
Qobu q.,40.404991,49.7072207
Qobustan q.,40.1114461,49.3783861
Sabunçu q.,40.44908593,49.94387742
Sabunçu r.,40.4520266,49.9324113
Şah İsmayıl Xətai m.,40.383086,49.871954
Sahil m.,40.37177908,49.84414381
Sahil q.,40.21713019,49.56766993
Saray q.,40.53558228,49.71057451
Sea Breeze,40.59204866,49.98737103
Səbail r.,40.3335274,49.8250442
Şimal DRES q.,40.4987171,50.2102855
Suraxanı q.,40.3868221,49.9797014
Suraxanı r.,40.3872279,50.0208876
Ulduz m.,40.415196,49.892843
Xalqlar Dostluğu m.,40.397528,49.952744
Xətai r.,40.3840175,49.8746649
Xəzər r.,40.4384433,50.1614173
Xutor q.,40.41126679,49.82675699
Yasamal q.,40.3794032,49.8039969
Yasamal r.,40.3781403,49.8114543
Yeni Günəşli q.,40.3856253,49.9812586
Yeni Suraxanı q.,40.3872279,50.0208876
Yeni Yasamal q.,40.3887794,49.7863989
Zabrat q.,40.4881429,49.9592214
Zığ q.,40.3454671,49.9779876
